player_id,season_vaep_total,avg_vaep_per_game,total_actions,num_games,vaep_per90
0,127.5369859621,0.07019096640731975,19545,1817,0.07019096640731975
12,1.03447935,0.517239675,173,2,0.517239675
33,0.4876085,0.4876085,57,1,0.4876085
36,22.459845184,0.89839380736,3575,25,0.89839380736
38,3.892263727,0.6487106211666667,582,6,0.6487106211666667
45,2.33726663,0.46745332599999995,358,5,0.46745332599999995
48,41.21517938,0.8959821604347826,6665,46,0.8959821604347826
54,41.98856165,1.0241112597560975,5788,41,1.0241112597560975
56,1.37755861,0.19679408714285712,224,7,0.19679408714285712
66,1.683154584,0.24045065485714284,212,7,0.24045065485714284
74,15.539682367000001,0.8633156870555556,2542,18,0.8633156870555556
77,21.04451529,0.8417806116,3450,25,0.8417806116
91,1.199351414,0.19989190233333332,153,6,0.19989190233333332
93,20.90638821,0.4977711478571428,2985,42,0.4977711478571428
97,1.20231336,0.40077112,175,3,0.40077112
99,0.257189807,0.1285949035,41,2,0.1285949035
102,31.1414052,0.8897544342857143,4897,35,0.8897544342857143
107,18.02334468,0.581398215483871,3031,31,0.581398215483871
110,12.619810552,0.5486874153043478,1922,23,0.5486874153043478
114,20.72793762,0.647748050625,3284,32,0.647748050625
116,18.164590145,0.5504421256060605,2899,33,0.5504421256060605
118,27.907167114,0.7751990865,3239,36,0.7751990865
120,1.0535619,0.17559365000000002,133,6,0.17559365000000002
122,25.74740705,0.5254572867346938,3153,49,0.5254572867346938
123,6.2197485245,0.222133875875,908,28,0.222133875875
130,23.86826334,0.663007315,3624,36,0.663007315
132,8.11739989,0.507337493125,1277,16,0.507337493125
134,5.622866028,0.3307568251764706,935,17,0.3307568251764706
142,1.57373978,0.5245799266666666,264,3,0.5245799266666666
151,8.096699095,0.26988996983333335,1096,30,0.26988996983333335
159,16.72195345,0.6193316092592593,2762,27,0.6193316092592593
160,15.281872569999999,0.664429242173913,2277,23,0.664429242173913
173,15.44010093,0.4825031540625,2129,32,0.4825031540625
174,6.841100335,0.4275687709375,1024,16,0.4275687709375
179,4.034354824,0.22413082355555558,572,18,0.22413082355555558
192,8.28042625,0.5520284166666667,1293,15,0.5520284166666667
254,25.58175425,0.7309072642857143,4096,35,0.7309072642857143
261,4.35825974,0.39620543090909094,614,11,0.39620543090909094
262,9.7145021,0.48572510500000005,1526,20,0.48572510500000005
284,13.45185139,0.5604938079166667,2116,24,0.5604938079166667
340,14.52663901,0.6917447147619048,2419,21,0.6917447147619048
354,0.6919638499999999,0.34598192499999997,109,2,0.34598192499999997
370,23.4637914,0.938551656,3850,25,0.938551656
382,6.15413357,0.236697445,783,26,0.236697445
383,24.7559,0.6347666666666667,3308,39,0.6347666666666667
394,17.70350465,0.6556853574074074,2864,27,0.6556853574074074
405,1.78011703,0.5933723433333333,275,3,0.5933723433333333
454,16.886832923,0.6031011758214285,2588,28,0.6031011758214285
466,20.36743215,0.5819266328571429,3296,35,0.5819266328571429
471,4.3130500986,0.28753667324,489,15,0.28753667324
625,23.12371992,0.6801094094117647,3746,34,0.6801094094117647
658,1.547149804,0.17190553377777779,197,9,0.17190553377777779
703,20.099447513,0.7178374111785715,3163,28,0.7178374111785715
786,1.00459598,0.50229799,171,2,0.50229799
1712,14.48565412,0.6584388236363636,2289,22,0.6584388236363636
1722,2.1235346479999997,0.19304860436363633,314,11,0.19304860436363633
1729,3.576471293,0.3251337539090909,588,11,0.3251337539090909
1751,6.169827468,0.38561421675,891,16,0.38561421675
3267,11.1933575,0.3391926515151515,1641,33,0.3391926515151515
3269,40.79872293,0.9950908031707316,6423,41,0.9950908031707316
3270,21.85671662,0.7536798834482759,3405,29,0.7536798834482759
3276,28.62432825,0.7736304932432433,4580,37,0.7736304932432433
3277,20.89030602,0.7737150377777778,3168,27,0.7737150377777778
3278,16.038739954,0.64154959816,2537,25,0.64154959816
3280,35.5392739,1.0452727617647057,5515,34,1.0452727617647057
3281,7.88570369,0.7168821536363637,1197,11,0.7168821536363637
3282,21.119761013999998,0.5866600281666666,3053,36,0.5866600281666666
3286,34.30677423,1.0090227714705884,5337,34,1.0090227714705884
3287,18.510805233,0.5002920333243243,2001,37,0.5002920333243243
3289,1.7394295,0.5798098333333334,268,3,0.5798098333333334
3290,11.03237041,0.30645473361111114,1297,36,0.30645473361111114
3291,4.455975687,0.2621162168823529,560,17,0.2621162168823529
3293,11.828804914000001,0.39429349713333334,1663,30,0.39429349713333334
3296,17.02678576,0.5675595253333333,2307,30,0.5675595253333333
3299,11.236655954,0.2957014724736842,1703,38,0.2957014724736842
3300,33.19119843,1.0706838203225806,5409,31,1.0706838203225806
3304,18.30982718,0.6313733510344828,2818,29,0.6313733510344828
3305,7.12885779,0.7128857789999999,1126,10,0.7128857789999999
3306,36.62142256,1.0771006635294118,5833,34,1.0771006635294118
3307,2.37855317,0.7928510566666667,388,3,0.7928510566666667
3308,20.221692018,0.5947556475882353,3290,34,0.5947556475882353
3309,22.99274729,0.6762572732352942,3717,34,0.6762572732352942
3310,31.164283263,0.97388385196875,4848,32,0.97388385196875
3313,27.35098199,0.7197626839473684,3752,38,0.7197626839473684
3314,28.030248233,0.8494014616060606,3197,33,0.8494014616060606
3315,6.543705940000001,0.6543705940000001,1109,10,0.6543705940000001
3317,10.457148366,0.41828593464,1648,25,0.41828593464
3318,19.844050046,0.6013348498787878,2991,33,0.6013348498787878
3319,36.40564467,1.070754255,5520,34,1.070754255
3320,15.699810773,0.8263058301578947,2480,19,0.8263058301578947
3321,15.01054581,0.4690795565625,2066,32,0.4690795565625
