playerId,matches_played,season_vaep_total,season_vaep_per90_avg,minutes_played,num_events,role,season_vaep_per_match
25604,1,1.0278457531530876,1.0278457531530876,90.0,56,MD,1.0278457531530876
8717,37,19.676786670985166,0.5309417774185784,3195.0,1857,FW,0.5318050451617612
8325,25,13.033241168581299,0.5202077087311773,2160.0,1296,FW,0.521329646743252
8374,4,0.9551888350833906,0.47700466982860235,270.0,145,MD,0.23879720877084765
120353,36,14.125018597049348,0.44684295241535843,3105.0,2132,FW,0.39236162769581523
12829,37,15.317463131505065,0.4139854900406774,3330.0,1301,FW,0.4139854900406774
9206,24,7.597145920179173,0.3972098923165201,1890.0,1076,FW,0.3165477466741322
8249,16,4.119933175170445,0.38550844361907366,945.0,669,MD,0.2574958234481528
25413,32,8.915574532158644,0.37158990219847965,2565.0,1458,FW,0.2786117041299576
340386,29,9.640783294817084,0.3652229999625606,2115.0,1158,FW,0.3324408032695546
7941,27,7.690172983735465,0.35538439000117283,1935.0,835,FW,0.28482122161983203
145692,22,5.657923530779954,0.3449267888298147,1395.0,802,FW,0.2571783423081797
32636,14,4.826578258813242,0.3438261923646288,1170.0,672,FW,0.3447555899152316
8416,35,11.565499756638019,0.33004176409220753,2700.0,1663,FW,0.3304428501896577
8953,24,5.856491134341923,0.3234158910642388,1530.0,615,FW,0.24402046393091345
120,6,0.9371897734890808,0.31612005810408544,360.0,121,FW,0.15619829558151346
25865,16,2.8377807127399137,0.2969793285956257,855.0,381,MD,0.1773612945462446
25867,13,4.777472419620608,0.28917078429255455,1125.0,566,FW,0.3674978784323545
26010,29,3.540537825334468,0.2874270612685058,1620.0,751,FW,0.12208751121842992
26610,14,1.9539797704928787,0.278475033124518,675.0,214,FW,0.1395699836066342
11066,33,6.746798209496774,0.26201559816025,2790.0,2184,FW,0.20444843059081133
7944,31,8.061972433924893,0.26129188396912323,2610.0,1915,FW,0.26006362690080304
8747,31,3.6675363297690637,0.2436401973541398,2025.0,1261,FW,0.11830762354093755
15808,37,8.764763823463,0.2365900859534835,3105.0,2323,FW,0.23688550874224323
11669,28,5.597286063621141,0.23445149186058448,2295.0,1197,FW,0.19990307370075502
9123,36,7.314700699844252,0.22869398938958815,2610.0,1594,FW,0.20318613055122922
7970,16,2.7281737246230477,0.22866820586204994,1035.0,621,FW,0.17051085778894048
14763,27,4.8809947595291305,0.21597275966632878,1935.0,874,FW,0.1807775836862641
240032,5,1.0702932744752616,0.21405865489505232,450.0,282,DF,0.21405865489505232
214654,28,5.86599831058993,0.2090992415999478,2205.0,1315,FW,0.20949993966392608
127537,36,7.38678128655738,0.20478193762129296,3150.0,2639,MD,0.20518836907103832
7905,34,5.89120274362358,0.20268184634636888,2970.0,1688,FW,0.17327066893010531
134513,30,4.217115467632539,0.20170802822831319,2115.0,1443,FW,0.1405705155877513
261,5,1.004988613552996,0.19779605429794173,315.0,121,MD,0.20099772271059918
3324,31,6.077906859529321,0.1927713364613385,2430.0,1488,FW,0.19606151159772003
8561,29,4.197991453253053,0.1797879199001382,2520.0,1975,MD,0.1447583259742432
7907,15,1.7274826352804666,0.17722305586212314,945.0,337,FW,0.11516550901869778
25747,29,4.983445796533488,0.17103868661295815,2520.0,1807,FW,0.17184295850115475
25571,36,4.972158523079997,0.16406116556896044,3015.0,2330,FW,0.13811551452999993
8032,33,5.068863649023115,0.1536019287582762,2970.0,2508,DF,0.1536019287582762
245813,23,1.6879560126581055,0.15045239723906928,1215.0,500,FW,0.07338939185470024
9637,33,4.926223922309873,0.14784812347440465,2655.0,1991,FW,0.1492795127972689
397178,35,3.068378021267563,0.14099948145729804,2385.0,1327,FW,0.08766794346478751
25707,34,4.964689105283469,0.14013292659193907,2790.0,2477,FW,0.14602026780245497
20857,28,2.9400334387028124,0.1396960170802361,1710.0,457,FW,0.10500119423938616
70965,13,1.7598808649199782,0.1356636446199935,1125.0,822,MD,0.13537545114769062
7892,10,1.334231272310717,0.13550964166934137,855.0,752,DF,0.1334231272310717
8498,22,2.993859214679105,0.1347470130686733,1575.0,840,MD,0.13608450975814115
54,37,4.744421140625491,0.12822759839528353,3330.0,3408,MD,0.12822759839528353
3327,30,2.8740883738646517,0.12782661908810647,2205.0,1285,FW,0.09580294579548838
14911,37,4.7971749721546075,0.12757182038901216,2880.0,1823,FW,0.1296533776258002
3928,19,2.318137157970341,0.12491018580667994,1530.0,1263,MD,0.12200721884054426
8958,37,4.580514379806118,0.12269278901638589,3105.0,1686,FW,0.12379768594070589
10663,29,3.6564531832773355,0.12248928844602577,2025.0,751,FW,0.12608459252680468
3348,7,0.8482820583158173,0.1223649584530254,540.0,325,FW,0.12118315118797389
8903,29,2.5753495963290334,0.12050667068728342,2160.0,1222,FW,0.0888051584941046
9127,30,2.7288608507369645,0.11959809449569245,1710.0,668,FW,0.09096202835789882
8677,21,1.5838357020402327,0.11811948506025753,1575.0,1156,FW,0.07542074771620155
332605,24,1.8498026796078193,0.11747171836244281,1665.0,910,MD,0.07707511165032581
61967,18,1.0826715576768038,0.11733436838363155,1170.0,940,MD,0.06014841987093354
20593,32,3.755159501921298,0.11390393276417399,2250.0,1254,MD,0.11734873443504057
8955,8,0.9355761502010864,0.11359696510498907,495.0,182,FW,0.1169470187751358
28292,37,4.133826331635646,0.1117250359901526,3330.0,3313,MD,0.1117250359901526
3577,36,4.03332571782812,0.11107306874974812,3060.0,2312,FW,0.11203682549522556
15054,35,3.8569436452180526,0.10954558018903689,2880.0,1540,FW,0.11019838986337294
3361,31,3.250685166596668,0.10413501689899637,2700.0,2661,FW,0.10486081182569897
