,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Kalidou Koulibaly,26,SEN,CB,26-060,90,0,0,0,0,0,0,0,0,84,2,4,0,0.0,0.0,0.0,1,0,66,75,88.0,7,54,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Lorenzo Insigne,24,ITA,"LW,LM",26-076,90,0,1,0,0,9,4,0,0,95,5,0,2,0.4,0.4,0.9,12,2,63,78,80.8,6,61,7,2,2,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Marek Hamšík,17,SVK,LM,30-023,65,0,0,0,0,3,1,0,0,56,1,1,0,0.1,0.1,0.2,4,0,41,50,82.0,5,36,2,1,1,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Pepe Reina,25,ESP,GK,34-353,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,23,37,62.2,0,18,0,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Piotr Zieliński,20,POL,"RM,CM",23-091,90,0,0,0,0,1,0,0,0,73,3,1,3,0.1,0.1,0.1,6,0,56,60,93.3,8,50,3,4,3,3a95d279
ITA-Serie A,1718,2017-08-19 Hellas Verona-Napoli,Napoli,Vlad Chiricheș,21,ROU,CB,27-278,90,0,0,0,0,1,0,0,0,72,0,0,0,0.2,0.2,0.0,1,0,65,69,94.2,8,52,2,0,0,3a95d279
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Alessio Cragno,28,ITA,GK,23-052,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,12,19,63.2,0,8,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Artur Ioniță,21,MDA,"LM,RM",27-002,90,0,0,0,0,1,0,0,0,45,1,1,1,0.1,0.1,0.0,1,0,26,38,68.4,2,27,2,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Daniele Dessena,4,ITA,CM,30-101,9,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,7,7,100.0,1,2,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Diego Farias,17,BRA,"FW,LM",27-101,90,0,0,0,1,1,1,0,0,38,0,0,1,0.8,0.1,0.0,1,0,27,30,90.0,2,26,1,5,3,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Duje Čop,90,CRO,FW,27-199,80,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,8,15,53.3,3,10,1,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Fabio Pisacane,19,ITA,CB,31-203,90,0,0,0,0,0,0,0,0,56,5,2,0,0.0,0.0,0.0,0,0,39,46,84.8,1,32,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,João Pedro,10,ITA,"FW,RB",25-163,28,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,1,7,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Luca Cigarini,8,ITA,CM,31-060,81,0,0,0,0,0,0,0,0,62,3,2,1,0.0,0.0,0.0,0,0,39,54,72.2,6,20,1,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Marco Andreolli,3,ITA,CB,31-070,90,0,0,0,0,0,0,0,0,55,2,1,3,0.0,0.0,0.0,0,0,35,38,92.1,1,24,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Marco Capuano,24,ITA,LB,25-309,90,0,0,0,0,0,0,0,0,70,2,0,1,0.0,0.0,0.0,1,0,55,67,82.1,7,33,3,2,2,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Marco Sau,25,ITA,FW,29-289,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Nicolò Barella,18,ITA,"AM,CM",20-193,90,0,0,0,0,0,0,0,0,69,1,2,4,0.0,0.0,0.1,3,0,45,57,78.9,7,38,1,4,4,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Paolo Faragò,24,ITA,"RM,RB",24-188,90,0,0,0,0,2,0,0,0,40,2,0,1,0.5,0.5,0.0,0,0,20,27,74.1,4,11,0,1,1,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Cagliari,Simone Padoin,20,ITA,RB,33-154,62,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,0,0,26,35,74.3,2,18,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Alex Sandro,12,BRA,LB,26-205,90,0,1,0,0,0,0,0,0,93,1,2,0,0.0,0.0,0.1,3,1,72,87,82.8,6,64,6,6,6,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Blaise Matuidi,14,FRA,DM,30-132,20,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.1,2,0,19,20,95.0,6,20,0,0,0,c6005f97
ITA-Serie A,1718,2017-08-19 Juventus-Cagliari,Juventus,Claudio Marchisio,8,ITA,DM,31-212,61,0,0,0,0,1,0,0,0,53,0,0,0,0.0,0.0,0.0,2,0,45,52,86.5,6,41,0,0,0,c6005f97
