,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Miguel Ángel Guerrero,9,ESP,FW,27-037,90,0,0,0,0,4,1,0,0,37,1,1,1,0.3,0.3,0.0,2,1,20,26,76.9,1,15,1,2,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Nabil El Zhar,10,MAR,RW,30-356,21,0,0,0,0,1,0,0,0,18,1,1,0,0.1,0.1,0.1,2,0,9,10,90.0,2,10,0,2,0,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Omar Ramos,23,ESP,RW,29-204,64,0,0,0,0,1,0,0,0,38,2,1,1,0.0,0.0,0.0,5,0,17,23,73.9,5,22,0,3,1,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Rubén Pérez,21,ESP,DM,28-114,90,0,0,0,0,1,0,0,0,61,4,1,3,0.0,0.0,0.0,1,0,34,52,65.4,6,20,0,1,1,5c28c716
ESP-La Liga,1718,2017-08-18 Leganés-Alavés,Leganés,Unai Bustinza,3,ESP,RB,25-197,11,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,1,0,7,10,70.0,1,2,0,0,0,5c28c716
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Alen Halilović,8,CRO,RM,21-061,32,0,0,0,0,1,1,0,1,19,0,0,0,0.1,0.1,0.0,0,0,13,17,76.5,3,11,0,0,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Dani Castellano,23,ESP,LB,29-289,90,0,0,0,0,0,0,0,0,55,4,3,3,0.0,0.0,0.0,0,0,33,41,80.5,2,22,0,1,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,David Simón,2,ESP,RB,28-245,84,0,0,0,0,0,0,1,0,66,1,1,1,0.0,0.0,0.0,0,0,45,54,83.3,3,37,2,4,2,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Javi Castellano,18,ESP,DM,29-289,13,0,0,0,0,0,0,0,0,18,2,0,1,0.0,0.0,0.0,0,0,14,15,93.3,2,6,0,1,0,05e8105f
ESP-La Liga,1718,2017-08-18 Valencia-Las Palmas,Las Palmas,Jonathan Calleri,9,ARG,FW,23-329,90,0,0,0,0,1,1,0,0,20,0,0,1,0.0,0.0,0.0,1,0,9,14,64.3,0,11,1,2,0,05e8105f
