,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Somália,19,BRA,RM,28-310,36,0,0,0,0,0,0,0,0,9,3,1,0,0.0,0.0,0.0,1,0,3,4,75.0,0,7,0,2,2,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Steeve Yago,20,BFA,CB,24-231,90,0,0,0,0,0,0,0,0,15,0,2,2,0.0,0.0,0.0,0,0,7,7,100.0,0,6,0,1,1,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Yann Bodiger,23,FRA,LM,22-176,27,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,1,0,4,11,36.4,1,4,0,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Yaya Sanogo,9,FRA,"FW,LW",24-189,18,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,5,1,0,0,a68e623d
FRA-Ligue 1,1718,2017-08-04 Monaco-Toulouse,Toulouse,Zinédine Machach,7,FRA,RM,21-211,54,1,0,0,0,1,1,1,0,24,2,2,0,0.1,0.1,0.0,0,0,10,13,76.9,1,15,0,1,0,a68e623d
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Anthony Lopes,1,POR,GK,26-308,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,29,32,90.6,0,21,0,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Bertrand Traoré,10,BFA,RW,21-333,78,0,0,0,0,2,1,0,0,58,1,3,2,0.2,0.2,0.0,4,1,36,44,81.8,1,42,3,5,4,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Fernando Marçal,20,BRA,LB,28-167,90,0,0,0,0,0,0,0,0,77,2,1,1,0.0,0.0,0.0,2,0,56,68,82.4,4,42,3,1,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Jordan Ferri,12,FRA,DM,25-146,6,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,1,4,8,50.0,1,5,2,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Jérémy Morel,15,MAD,CB,33-125,90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,0,0,48,52,92.3,2,37,0,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Lucas Tousart,29,FRA,DM,20-098,90,0,0,0,0,0,0,1,0,61,0,2,0,0.0,0.0,0.0,1,0,52,54,96.3,7,39,2,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Marcelo,6,BRA,CB,30-077,90,0,0,0,0,0,0,0,0,83,0,0,1,0.0,0.0,0.0,0,0,67,77,87.0,8,51,0,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Mariano,9,DOM,FW,24-004,75,2,0,0,0,6,3,1,0,17,0,1,0,0.7,0.7,0.1,1,0,3,6,50.0,0,13,3,1,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Maxwel Cornet,27,CIV,RW,20-312,12,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,1,1,6,7,85.7,1,7,2,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Memphis,11,NED,LW,23-173,90,0,1,0,0,2,1,0,0,40,0,1,0,0.1,0.1,0.0,2,1,27,34,79.4,5,29,1,1,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Myziane Maolida,17,COM,FW,18-172,15,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,2,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Nabil Fekir,18,FRA,AM,24-018,90,2,0,1,1,1,1,0,0,53,1,0,0,0.9,0.1,0.0,6,2,35,45,77.8,8,34,3,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Rafael,4,BRA,RB,27-027,90,0,0,0,0,0,0,0,0,84,5,2,1,0.0,0.0,0.2,2,0,62,74,83.8,8,50,3,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Lyon,Sergi Darder,14,ESP,DM,23-226,84,0,0,0,0,1,0,0,0,78,4,0,0,0.0,0.0,0.1,0,0,62,71,87.3,9,46,0,1,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Anthony Gonçalves,17,FRA,CM,31-152,16,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,2,0,5,10,50.0,0,7,1,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Benjamin Corgnet,10,FRA,"LM,CM",30-121,90,0,0,0,0,0,0,0,0,35,2,2,0,0.0,0.0,0.0,0,0,15,27,55.6,1,22,0,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Bingourou Kamara,30,SEN,GK,20-288,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,14,32,43.8,0,18,0,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Dimitri Liénard,11,FRA,CM,29-173,74,0,0,0,0,1,0,0,0,44,4,0,0,0.1,0.1,0.0,2,0,30,37,81.1,4,22,0,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Idriss Saadi,9,ALG,FW,25-178,66,0,0,0,0,1,0,0,0,19,0,1,1,0.1,0.1,0.1,1,0,10,14,71.4,0,10,0,2,2,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Ihsan Sacko,7,FRA,"RM,FW",20-017,24,0,0,0,0,2,0,1,0,12,0,1,0,0.1,0.1,0.0,2,0,4,7,57.1,1,6,2,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Jean-Eudes Aholou,8,CIV,DM,23-138,90,0,0,0,0,0,0,0,0,42,2,4,0,0.0,0.0,0.1,1,0,30,31,96.8,4,21,0,0,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Jonas Martin,28,FRA,CM,27-118,80,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.1,1,0,29,30,96.7,6,22,0,4,3,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Kader Mangane,12,SEN,CB,34-135,90,0,0,0,0,1,0,0,0,40,1,5,0,0.0,0.0,0.0,0,0,20,25,80.0,0,22,0,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Kenny Lala,27,MAD,RB,25-306,90,0,0,0,0,0,0,0,0,43,3,1,0,0.0,0.0,0.1,1,0,29,36,80.6,4,20,4,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Nuno da Costa,29,CPV,"RM,FW",26-176,90,0,0,0,0,1,0,1,0,21,0,2,0,0.1,0.1,0.0,1,0,5,11,45.5,0,12,1,3,2,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Pablo Martinez,4,FRA,LB,28-165,90,0,0,0,0,0,0,0,0,62,2,1,3,0.0,0.0,0.0,1,0,35,48,72.9,2,27,1,4,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Stéphane Bahoken,19,CMR,"LM,CM",25-069,10,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.1,1,0,1,3,33.3,0,6,0,1,0,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Lyon-Strasbourg,Strasbourg,Yoann Salmier,21,GUF,CB,24-257,90,0,0,0,0,0,0,1,0,57,2,4,1,0.0,0.0,0.0,0,0,42,48,87.5,2,34,0,1,1,4d28b63b
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Abdoul Camara,9,GUI,RM,27-166,53,0,0,0,0,1,0,0,0,26,0,1,0,0.1,0.1,0.0,1,0,12,20,60.0,1,13,3,3,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Christophe Kerbrat,29,FRA,CB,31-003,90,0,0,0,0,0,0,0,0,55,2,0,0,0.0,0.0,0.0,1,0,38,41,92.7,2,27,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Jimmy Briand,23,FRA,FW,32-003,90,1,0,1,1,1,0,0,0,33,0,0,0,0.8,0.0,0.0,1,0,19,28,67.9,2,16,2,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Jordan Ikoko,2,COD,RB,23-183,90,0,0,0,0,0,0,0,0,58,4,1,0,0.0,0.0,0.2,2,0,35,48,72.9,4,24,3,4,2,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Jérémy Sorbon,15,FRA,CB,34-000,90,0,0,0,0,0,0,0,0,70,0,3,0,0.0,0.0,0.0,2,0,52,57,91.2,5,37,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Karl-Johan Johnsson,1,SWE,GK,27-189,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,23,32,71.9,0,14,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Lebogang Phiri,18,RSA,"CM,DM",22-269,90,0,0,0,0,0,0,1,0,64,2,2,1,0.0,0.0,0.0,1,1,51,61,83.6,3,33,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Lucas Deaux,8,FRA,"CM,RM,DM",28-222,90,0,0,0,0,0,0,0,0,64,1,1,2,0.0,0.0,0.0,1,0,39,51,76.5,8,19,2,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Ludovic Blas,7,FRA,"LW,AM,RM",19-217,37,1,1,0,0,2,1,0,0,22,0,0,0,0.1,0.1,0.4,1,1,11,17,64.7,2,17,3,1,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Marcus Coco,24,FRA,"LM,LW",21-042,71,0,0,0,0,1,0,0,0,15,1,0,0,0.1,0.1,0.0,4,2,7,9,77.8,3,9,3,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Marcus Thuram,21,FRA,RW,19-364,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Mustapha Diallo,5,SEN,LM,31-083,19,1,0,0,0,2,2,0,0,10,2,0,0,0.4,0.4,0.0,1,0,5,6,83.3,1,3,0,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Pedro Rebocho,3,POR,LB,22-194,90,0,1,0,0,1,0,0,0,48,0,1,0,0.0,0.0,0.1,2,1,30,40,75.0,2,21,2,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Guingamp,Yannis Salibur,19,FRA,"FW,RW",26-193,87,0,0,0,0,4,1,1,0,41,0,1,2,0.3,0.3,0.1,5,1,23,31,74.2,4,27,8,3,2,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Benoît Assou-Ekotto,32,CMR,LB,33-134,90,0,0,0,0,0,0,0,0,88,1,5,1,0.0,0.0,0.0,1,0,59,81,72.8,5,53,1,1,1,7d2eb66d
FRA-Ligue 1,1718,2017-08-05 Metz-Guingamp,Metz,Fallou Diagne,3,SEN,DM,27-356,75,0,0,0,0,2,2,0,0,54,1,1,1,0.1,0.1,0.0,1,0,41,49,83.7,7,38,2,1,1,7d2eb66d
