,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Mats Hummels,5,GER,CB,28-245,61,0,0,0,0,1,1,0,0,52,1,0,1,0.1,0.1,0.0,2,0,44,50,88.0,6,30,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Niklas Süle,4,GER,CB,21-349,90,1,0,0,0,1,1,0,0,56,0,1,0,0.1,0.1,0.0,0,0,43,50,86.0,0,31,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Rafinha,13,BRA,CB,31-345,29,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,1,0,18,22,81.8,1,9,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Robert Lewandowski,9,POL,FW,28-362,90,1,0,1,1,2,0,0,0,33,0,0,0,1.2,0.4,0.3,2,1,20,25,80.0,4,21,5,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Sebastian Rudy,19,GER,CM,27-171,90,0,1,0,0,0,0,0,0,55,3,1,1,0.0,0.0,0.2,3,1,43,48,89.6,5,29,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Sven Ulreich,26,GER,GK,29-015,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,17,0,0,0,b13970b2
GER-Bundesliga,1718,2017-08-18 Bayern Munich-Leverkusen,Bayern Munich,Thomas Müller,25,GER,RW,27-339,60,0,0,0,0,1,1,0,0,22,0,0,2,0.5,0.5,0.1,2,0,12,17,70.6,1,11,0,1,0,b13970b2
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Alfreð Finnbogason,27,ISL,FW,28-199,90,0,0,0,0,2,1,0,0,42,0,1,2,0.1,0.1,0.2,3,0,15,28,53.6,5,25,0,4,1,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Caiuby,30,BRA,LW,29-036,90,0,0,0,0,2,0,0,0,40,4,0,0,0.1,0.1,0.1,3,0,20,28,71.4,2,24,5,7,5,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Daniel Baier,10,GER,DM,33-093,90,0,0,0,0,2,0,0,0,96,7,0,0,0.1,0.1,0.1,1,0,65,82,79.3,6,42,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Erik Thommy,26,GER,RW,22-364,14,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,1,0,6,11,54.5,1,9,0,1,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Jeffrey Gouweleeuw,6,NED,CB,26-040,90,0,0,0,0,1,0,0,0,75,4,2,1,0.1,0.1,0.0,0,0,47,66,71.2,9,46,1,2,2,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Jonathan Schmid,17,FRA,RW,27-058,76,0,0,0,0,1,0,0,0,30,0,1,1,0.1,0.1,0.0,4,0,16,24,66.7,2,8,1,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Koo Ja-cheol,19,KOR,DM,28-173,90,0,0,0,0,1,0,0,0,59,1,1,0,0.0,0.0,0.0,5,0,48,53,90.6,2,31,1,1,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Martin Hinteregger,36,AUT,CB,24-346,90,0,0,0,0,0,0,1,0,69,2,0,2,0.0,0.0,0.1,2,0,47,58,81.0,2,40,0,1,1,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Marwin Hitz,35,SUI,GK,29-335,90,0,0,0,0,1,0,0,0,43,0,0,0,0.1,0.1,0.0,0,0,28,40,70.0,0,22,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Michael Gregoritsch,11,AUT,AM,23-123,66,0,0,0,0,3,0,1,0,30,2,0,0,0.2,0.2,0.0,1,0,18,22,81.8,0,19,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Philipp Max,31,GER,LB,23-323,90,0,0,0,0,1,0,1,0,72,0,0,0,0.0,0.0,0.2,6,0,50,67,74.6,6,30,3,1,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Raphael Framberger,32,GER,RB,21-347,90,0,0,0,0,0,0,0,0,72,3,3,3,0.0,0.0,0.1,2,0,48,63,76.2,5,31,5,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Augsburg,Sergio Córdova,21,VEN,AM,20-010,24,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,4,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Aaron Hunt,14,GER,"AM,LW",30-349,76,0,0,0,0,2,0,0,0,34,2,0,1,0.1,0.1,0.0,2,0,17,26,65.4,0,12,1,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Albin Ekdal,20,SWE,DM,28-022,90,0,0,0,0,0,0,1,0,53,3,4,4,0.0,0.0,0.1,2,0,29,38,76.3,8,25,1,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,André Hahn,11,GER,RW,27-006,90,0,0,0,0,0,0,0,0,41,3,2,0,0.0,0.0,0.1,3,1,17,30,56.7,5,26,3,3,1,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Bobby Wood,7,USA,FW,24-277,86,0,0,0,0,2,0,0,0,38,1,0,0,0.1,0.1,0.1,2,0,9,21,42.9,0,19,0,5,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Christian Mathenia,1,GER,GK,25-141,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,23,36,63.9,0,14,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Dennis Diekmeier,2,GER,RB,27-303,90,0,0,0,0,0,0,1,0,33,0,0,3,0.0,0.0,0.1,2,0,17,25,68.0,2,16,1,1,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Filip Kostić,17,SRB,LW,24-291,60,0,0,0,0,1,0,0,0,24,0,0,3,0.1,0.1,0.0,1,0,7,15,46.7,1,12,3,4,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Gideon Jung,28,GER,CB,22-341,90,0,0,0,0,0,0,0,0,33,2,0,2,0.0,0.0,0.0,0,0,15,19,78.9,2,13,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Kyriakos Papadopoulos,9,GRE,CB,25-177,90,0,0,0,0,1,1,1,0,37,1,2,4,0.0,0.0,0.0,0,0,11,19,57.9,1,9,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Luca Waldschmidt,15,GER,"AM,LW",21-092,30,0,0,0,0,2,1,0,0,9,0,0,0,0.1,0.1,0.0,1,0,4,5,80.0,1,9,0,0,0,f65cd7dc
GER-Bundesliga,1718,2017-08-19 Hamburger SV-Augsburg,Hamburger SV,Nicolai Müller,27,GER,AM,29-328,14,1,0,0,0,1,1,0,0,9,1,0,1,0.1,0.1,0.0,0,0,5,6,83.3,1,6,0,0,0,f65cd7dc
