playerId,matches_played,season_vaep_total,season_vaep_per90_avg,minutes_played,num_events,season_vaep_per_match
25604,1,1.0033539617434144,1.0033539617434144,90.0,56,1.0033539617434144
8717,37,21.056097711843904,0.5690211964239417,3195.0,1857,0.5690837219417272
8325,25,13.995448579604272,0.5598390245973133,2160.0,1296,0.5598179431841709
120353,36,16.058066423909622,0.5015378337747178,3105.0,2132,0.44605740066415617
8374,4,0.9947818305809051,0.49739304720424116,270.0,145,0.24869545764522627
12829,37,15.794447800610214,0.42687696758405985,3330.0,1301,0.42687696758405985
9206,24,8.018015412730165,0.4174891416672229,1890.0,1076,0.3340839755304235
25413,32,9.979812628007494,0.40270842963218456,2565.0,1458,0.3118691446252342
340386,29,10.014427269110456,0.38020212994888425,2115.0,1158,0.34532507824518816
8249,16,4.01369534136029,0.3762144778484071,945.0,669,0.2508559588350181
7941,27,8.018356209940976,0.3709942356961417,1935.0,835,0.2969761559237398
145692,22,6.043260865728371,0.36627446983369405,1395.0,802,0.2746936757149259
32636,14,4.984071330167353,0.35601657359594746,1170.0,672,0.3560050950119538
8416,35,12.003594800946303,0.3433070503840489,2700.0,1663,0.34295985145560864
120,6,1.019260781002231,0.3376852502891173,360.0,121,0.16987679683370516
8953,24,5.992398405913264,0.33279779157601297,1530.0,615,0.24968326691305265
25865,16,3.0023594037629664,0.31328982053673826,855.0,381,0.1876474627351854
26010,29,4.050058313820045,0.31298247870089935,1620.0,751,0.13965718323517398
25867,13,4.985649486770853,0.3064925471643129,1125.0,566,0.38351149898237336
11066,33,8.07403567072106,0.3064430648862044,2790.0,2184,0.24466774759760787
26610,14,2.0098568811663426,0.28679426427697763,675.0,214,0.1435612057975959
15808,37,10.053035971766803,0.2719051265016173,3105.0,2323,0.2717036749126163
8747,31,4.034972553490661,0.25931592669991416,2025.0,1261,0.13016040495131165
7944,31,7.952619470452191,0.25635636308805027,2610.0,1915,0.2565361119500707
9123,36,8.040206600853708,0.251287154329475,2610.0,1594,0.22333907224593633
11669,28,6.033237656782148,0.2510775709264895,2295.0,1197,0.2154727734565053
7970,16,2.993050454344484,0.24968763558263163,1035.0,621,0.18706565339653025
7905,34,7.145274202397559,0.23958650124362013,2970.0,1688,0.2101551235999282
134513,30,4.9172976891859435,0.23020321157722112,2115.0,1443,0.16390992297286477
3324,31,7.041256227515987,0.22704023171935395,2430.0,1488,0.22713729766180604
14763,27,4.984979577799095,0.22149346386733534,1935.0,874,0.18462887325181832
214654,28,6.015811113989912,0.21493645875099382,2205.0,1315,0.21485039692821115
25747,29,5.928030113384011,0.20432603295545237,2520.0,1807,0.2044148314960004
240032,5,1.0169662201078609,0.20339324402157216,450.0,282,0.20339324402157216
25707,34,6.897015478636604,0.2024865261371494,2790.0,2477,0.20285339643048836
7907,15,1.9982326884637587,0.1996255864428046,945.0,337,0.13321551256425057
261,5,0.9934112203773111,0.19818935836665333,315.0,121,0.19868224407546223
25571,36,5.9892733277520165,0.19367510137898433,3015.0,2330,0.16636870354866712
127537,36,6.885842596020666,0.19119350984247932,3150.0,2639,0.1912734054450185
9637,33,6.028936148490175,0.182850916365031,2655.0,1991,0.18269503480273255
245813,23,2.011812039767392,0.17477544423435692,1215.0,500,0.08747008868553878
397178,35,3.968136705298093,0.170285551273264,2385.0,1327,0.11337533443708837
8561,29,3.900815169705311,0.16902665674770734,2520.0,1975,0.1345108679208728
54,37,5.978980273081106,0.1615940614346245,3330.0,3408,0.1615940614346245
14911,37,5.935320834076265,0.1599003020854906,2880.0,1823,0.1604140765966558
3361,31,4.948229439352872,0.15958698713614966,2700.0,2661,0.15962030449525394
70965,13,1.979938419710379,0.1523654239314895,1125.0,822,0.15230295536233684
8032,33,4.836197684606304,0.14655144498806982,2970.0,2508,0.14655144498806982
20857,28,2.9978162542684004,0.14285270687417193,1710.0,457,0.10706486622387144
8677,21,1.9901729695266113,0.14018636813852936,1575.0,1156,0.0947701414060291
3577,36,5.014612475788454,0.1393934040445149,3060.0,2312,0.1392947909941237
10663,29,3.9943028255947866,0.13775482132492972,2025.0,751,0.13773458019292367
8903,29,2.9675338346278295,0.136575404935966,2160.0,1222,0.10232875291820101
8958,37,5.0320688067004085,0.1361874507557651,3105.0,1686,0.1360018596405516
3348,7,0.9554232211085036,0.1358175940113142,540.0,325,0.1364890315869291
9127,30,3.032438281457871,0.13552608628136417,1710.0,668,0.10108127604859571
3327,30,3.015202002658043,0.1338912004895974,2205.0,1285,0.10050673342193477
8498,22,2.91963888250757,0.13286684363000942,1575.0,840,0.13271085829579865
14703,31,4.032022005121689,0.12974693900492462,2565.0,1694,0.1300652259716674
8955,8,1.0182285369373858,0.12859632653999142,495.0,182,0.12727856711717322
332605,24,1.933117149703321,0.12206773628531664,1665.0,910,0.08054654790430504
15054,35,4.128259016695665,0.1182445411695101,2880.0,1540,0.11795025761987615
20593,32,3.8557135594819556,0.11761985203861514,2250.0,1254,0.12049104873381111
8625,28,3.20647444849601,0.11499088828194155,2340.0,1748,0.11451694458914322
12536,35,3.0072481733222958,0.114398768126765,2565.0,1018,0.08592137638063702
179,18,1.03705949295545,0.11395603310342671,990.0,452,0.057614416275302775
230883,35,4.983368703484302,0.11386125542672484,2835.0,1812,0.14238196295669436
61967,18,0.957934525096789,0.10792923987739617,1170.0,940,0.05321858472759939
7945,28,2.9888407308026217,0.10705366298913889,1755.0,814,0.10674431181437935
9414,30,2.1233925830747467,0.10433811591065023,2385.0,1451,0.07077975276915822
8422,29,4.015017513986095,0.10392414010882554,2565.0,2030,0.13844887979262396
