playerId,matchId,teamId,vaep,num_events,minutes_played,vaep_per90,role
0,2499719,1609,-0.9914168883551611,62,90.0,-0.9914168883551611,
0,2499719,1631,-0.006741323973983526,102,90.0,-0.006741323973983526,
0,2499720,1625,0.00414099870249629,22,90.0,0.00414099870249629,
0,2499720,1651,-0.0036832422483712435,92,90.0,-0.0036832422483712435,
0,2499721,1610,-0.0003519739839248359,29,90.0,-0.0003519739839248359,
0,2499721,1646,-0.011867669643834233,69,90.0,-0.011867669643834233,
0,2499722,1628,0.0008522067219018936,25,90.0,0.0008522067219018936,
0,2499722,1673,-0.010978003963828087,121,90.0,-0.010978003963828087,
0,2499723,1623,0.00418146513402462,29,90.0,0.00418146513402462,
0,2499723,1639,-0.011534817516803741,104,90.0,-0.011534817516803741,
0,2499724,1611,0.00553966430015862,36,90.0,0.00553966430015862,
0,2499724,1633,-0.007267515058629215,106,90.0,-0.007267515058629215,
0,2499725,1613,0.008069623727351427,46,90.0,0.008069623727351427,
0,2499725,1624,-0.005813115509226918,95,90.0,-0.005813115509226918,
0,2499726,1619,0.00048618484288454056,30,90.0,0.00048618484288454056,
0,2499726,10531,-0.012742313207127154,107,90.0,-0.012742313207127154,
0,2499727,1612,0.0006824153242632747,38,90.0,0.0006824153242632747,
0,2499727,1644,-0.004085005261003971,102,90.0,-0.004085005261003971,
0,2499728,1627,-0.0019212088081985712,101,90.0,-0.0019212088081985712,
0,2499728,1659,0.00548107223585248,53,90.0,0.00548107223585248,
0,2499729,1644,-0.012587708188220859,75,90.0,-0.012587708188220859,
0,2499729,1659,1.0712421499192715e-05,4,90.0,1.0712421499192715e-05,
0,2499730,1627,-0.01360359019599855,87,90.0,-0.01360359019599855,
0,2499730,1646,0.0005999687127768993,6,90.0,0.0005999687127768993,
0,2499731,1613,-0.00882107112556696,77,90.0,-0.00882107112556696,
0,2499731,1673,-0.00030693155713379383,5,90.0,-0.00030693155713379383,
0,2499732,1631,-0.0030874654185026884,62,90.0,-0.0030874654185026884,
0,2499732,1651,0.00020838016644120216,5,90.0,0.00020838016644120216,
0,2499733,1612,0.00018522050231695175,4,90.0,0.00018522050231695175,
0,2499733,1628,-0.0067900457652285695,66,90.0,-0.0067900457652285695,
0,2499734,1623,-0.006392550756572746,102,90.0,-0.006392550756572746,
0,2499734,1625,-0.0006208268459886312,8,90.0,-0.0006208268459886312,
0,2499735,1609,-0.0011913639027625322,7,90.0,-0.0011913639027625322,
0,2499735,1639,-0.006305065704509616,69,90.0,-0.006305065704509616,
0,2499736,1611,0.00013064034283161163,2,90.0,0.00013064034283161163,
0,2499736,10531,-0.004895149730145931,66,90.0,-0.004895149730145931,
0,2499737,1610,-0.015908727946225554,69,90.0,-0.015908727946225554,
0,2499737,1624,0.0006874925456941128,13,90.0,0.0006874925456941128,
0,2499738,1619,-0.006518723908811808,108,90.0,-0.006518723908811808,
0,2499738,1633,0.0021024509333074093,16,90.0,0.0021024509333074093,
0,2499739,1625,-0.0006777010858058929,7,90.0,-0.0006777010858058929,
0,2499739,1659,-0.0020565466256812215,75,90.0,-0.0020565466256812215,
0,2499740,1610,0.0007678219117224216,4,90.0,0.0007678219117224216,
0,2499740,1623,-0.0051185619086027145,68,90.0,-0.0051185619086027145,
0,2499741,1628,-0.000422227312810719,3,90.0,-0.000422227312810719,
0,2499741,10531,-0.01349443569779396,73,90.0,-0.01349443569779396,
0,2499742,1619,-0.01002541184425354,81,90.0,-0.01002541184425354,
0,2499742,1673,-0.0006647631525993347,4,90.0,-0.0006647631525993347,
0,2499743,1609,-0.012190269451821223,62,90.0,-0.012190269451821223,
0,2499743,1612,-0.00018261047080159187,5,90.0,-0.00018261047080159187,
0,2499744,1611,-0.000409858301281929,3,90.0,-0.000409858301281929,
0,2499744,1631,-0.0077571263536810875,64,90.0,-0.0077571263536810875,
0,2499745,1613,-0.00010682828724384308,1,90.0,-0.00010682828724384308,
0,2499745,1633,-0.009435387793928385,81,90.0,-0.009435387793928385,
0,2499746,1624,0.0008412008173763752,5,90.0,0.0008412008173763752,
0,2499746,1646,-0.014338231645524502,66,90.0,-0.014338231645524502,
0,2499747,1644,0.0010360432788729668,86,90.0,0.0010360432788729668,
0,2499747,1651,-0.0011041401885449886,7,90.0,-0.0011041401885449886,
0,2499748,1627,0.00033699721097946167,52,90.0,0.00033699721097946167,
0,2499748,1639,-0.004386638291180134,29,90.0,-0.004386638291180134,
0,2499749,1609,0.00038002803921699524,3,90.0,0.00038002803921699524,
0,2499749,1659,-0.004450979991815984,79,90.0,-0.004450979991815984,
0,2499750,1627,-0.011656634276732802,75,90.0,-0.011656634276732802,
0,2499750,1651,-7.084710523486137e-05,1,90.0,-7.084710523486137e-05,
0,2499751,1628,0.00019235839135944843,8,90.0,0.00019235839135944843,
0,2499751,1646,-0.0004920870997011662,92,90.0,-0.0004920870997011662,
0,2499752,1623,-0.0030213454738259315,76,90.0,-0.0030213454738259315,
0,2499752,1624,6.099417805671692e-05,1,90.0,6.099417805671692e-05,
0,2499753,1610,-0.9948034752160311,29,90.0,-0.9948034752160311,
0,2499753,1631,-0.002028862712904811,99,90.0,-0.002028862712904811,
0,2499754,1612,-0.0015453393571078777,28,90.0,-0.0015453393571078777,
0,2499754,1625,-0.000682961312122643,34,90.0,-0.000682961312122643,
0,2499755,1619,-0.0025079103652387857,90,90.0,-0.0025079103652387857,
0,2499755,1644,-0.0005781790241599083,2,90.0,-0.0005781790241599083,
0,2499756,1611,0.0013966248370707035,4,90.0,0.0013966248370707035,
