version,learning_rate,batch_size,hidden_dims,horizon,epochs,scheduler,best_epoch,best_val_loss,final_train_loss,final_val_loss,min_train_loss,convergence_speed,train_val_gap,overfit_score
grid_20251125_144331_001,0.001,2048,"[128, 64]",5,20,none,20,0.05975144076730027,0.06478450252448328,0.05975144076730027,0.06478450252448328,2.0,-0.005033061757183016,-0.07768928618817328
grid_20251125_144331_002,0.001,2048,"[128, 64]",5,20,none,20,0.05988548234366026,0.06513950297739009,0.05988548234366026,0.06513501327547118,2.0,-0.005254020633729831,-0.08065797854726495
grid_20251125_144331_004,0.001,2048,"[128, 64]",5,35,none,35,0.05953918081429218,0.0642217816299628,0.05954849120620855,0.06414157192285962,2.0,-0.004673290423754244,-0.07276799716770721
grid_20251125_144331_005,0.001,2048,"[128, 64]",5,35,none,35,0.059544985349279204,0.0641070402070748,0.05954840465119029,0.06405771510160896,2.0,-0.004558635555884517,-0.07110974927495452
grid_20251125_144331_007,0.001,2048,"[128, 64]",5,40,none,40,0.0595174526527582,0.06409344195242653,0.0595174526527582,0.06397722688967851,2.0,-0.004575989299668327,-0.07139559306340364
grid_20251125_144331_008,0.001,2048,"[128, 64]",5,40,none,40,0.05954305041248001,0.06390847108576854,0.05954544737949562,0.06381074609848485,2.0,-0.004363023706272923,-0.06826988084908986
grid_20251125_155556_001,0.001,2048,"[128, 64]",10,20,none,20,0.13206201688846725,0.14119495740828847,0.13217200014870686,0.1411845234525825,,-0.009022957259581604,-0.0639042457691335
grid_20251125_155556_002,0.001,2048,"[128, 64]",10,20,none,20,0.13226556891017388,0.1417390245618253,0.13226618374976898,0.1416581036960715,,-0.009472840812056321,-0.06683297589595272
grid_20251125_155556_003,0.001,2048,"[128, 64]",10,35,none,35,0.1317813067773089,0.14028951141071178,0.13187247086388823,0.14028951141071178,,-0.008417040546823545,-0.0599976467391194
grid_20251125_155556_004,0.001,2048,"[128, 64]",10,35,none,35,0.1317516477408924,0.14015760792157408,0.1317626881242842,0.14015760792157408,,-0.008394919797289874,-0.05989628334686829
grid_20251125_155556_005,0.001,2048,"[128, 64]",10,40,none,40,0.13174057332255265,0.14023164199663357,0.13174057332255265,0.14017951819631788,,-0.00849106867408092,-0.060550304861186455
grid_20251125_155556_006,0.001,2048,"[128, 64]",10,40,none,40,0.13167320738332744,0.13995511514100822,0.13168105582347872,0.13986713245086144,,-0.008274059317529503,-0.05911937773187628
grid_20251125_155556_007,0.001,2048,"[128, 64]",15,20,none,20,0.19487766228645229,0.2069388932329598,0.1949042136770046,0.2069388932329598,,-0.012034679555955191,-0.05815571625004898
grid_20251125_155556_008,0.001,2048,"[128, 64]",15,20,none,20,0.19482545224145228,0.20760935427751046,0.19483264584949508,0.2075676954659975,,-0.012776708428015371,-0.06154206525268994
grid_20251125_155556_009,0.001,2048,"[128, 64]",15,35,none,35,0.19447667538713853,0.2062033190663937,0.19451383453456808,0.20618823658576055,,-0.011689484531825611,-0.056689119189501556
grid_20251125_155556_010,0.001,2048,"[128, 64]",15,35,none,35,0.19440927540571773,0.2060587085277985,0.19447347995778003,0.2060587085277985,,-0.01158522857001848,-0.05622295050177686
grid_20251125_155556_011,0.001,2048,"[128, 64]",15,40,none,40,0.19446204109878393,0.20605274428308537,0.19446204109878393,0.20605274428308537,,-0.011590703184301443,-0.056251146882943553
grid_20251125_155556_012,0.001,2048,"[128, 64]",15,40,none,40,0.1943708732434284,0.20593838979771237,0.19443935537094736,0.2058681268666229,,-0.011499034426765004,-0.05583725520074324
grid_20251125_155556_013,0.001,2048,"[128, 64]",20,20,none,20,0.2510151012079493,0.2656760227041376,0.2511046990056446,0.2656760227041376,,-0.01457132369849301,-0.05484621288056522
grid_20251125_155556_014,0.001,2048,"[128, 64]",20,20,none,20,0.2509307547939891,0.2662412891111308,0.250965031030577,0.26618706045952517,,-0.015276258080553828,-0.05737749442077491
grid_20251125_155556_015,0.001,2048,"[128, 64]",20,35,none,35,0.25057233194548795,0.2648697956561339,0.2506388322765493,0.26484827767607033,,-0.014230963379584571,-0.05372814723676481
grid_20251125_155556_016,0.001,2048,"[128, 64]",20,35,none,35,0.2505195016469009,0.2647397625850717,0.25058252771714784,0.26473531041993975,,-0.014157234867923862,-0.05347604277379589
grid_20251125_155556_017,0.001,2048,"[128, 64]",20,40,none,40,0.25053263277337245,0.2647896886252841,0.25053263277337245,0.2647665104184999,,-0.01425705585191167,-0.05384294201911871
grid_20251125_155556_018,0.001,2048,"[128, 64]",20,40,none,40,0.2503954989813877,0.2644604505163378,0.25049528408549177,0.2644397444078001,,-0.013965166430846054,-0.05280625667686865
grid_20251125_155556_019,0.001,2048,"[256, 128]",5,20,none,20,0.05937576962903084,0.06387013743650773,0.05971159409651902,0.06387013743650773,1.0,-0.0041585433399887045,-0.06510935324231368
grid_20251125_155556_020,0.001,2048,"[256, 128]",5,20,none,20,0.0593037317300411,0.06372174818614533,0.05930538621915917,0.06371355711344186,1.0,-0.004416361966986158,-0.06930698062590793
grid_20251125_161645_001,0.001,2048,"[256, 128, 64]",10,35,none,35,0.136295896424697,0.1483879120910869,0.13629907908347938,0.14833968363556208,,-0.012088833007607519,-0.08146777481569302
grid_20251125_161645_002,0.001,2048,"[384, 192, 96]",20,35,none,35,0.2542178513912054,0.27109695112004,0.2542178513912054,0.27109695112004,,-0.016879099728834612,-0.0622622263330459
grid_20251125_161859_001,0.001,2048,"[256, 128]",20,5,none,5,0.25267432179561883,0.2699905070961107,0.25267432179561883,0.2699905070961107,,-0.017316185300491893,-0.06413627459252746
